Country,Air Pollutant,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,City Population
Norway,CO,1 year 50 percentile,2003,0.3,mg/m3,Traffic,urban,623966
Norway,CO,1 year 50 %ile of daily values in a year,2003,0.471,mg/m3,Traffic,urban,623966
Norway,CO,Annual mean / 1 calendar year,2003,0.673,mg/m3,Traffic,urban,623966
Norway,CO,1 year 50 percentile,2003,0.7,mg/m3,Traffic,urban,267950
Norway,CO,1 year 50 %ile of daily values in a year,2003,0.758,mg/m3,Traffic,urban,267950
Norway,CO,Annual mean / 1 calendar year,2003,0.936,mg/m3,Traffic,urban,267950
Norway,CO,1 year daymax average,2003,1.308,mg/m3,Traffic,urban,623966
Norway,CO,1 year daymax average,2003,1.527,mg/m3,Traffic,urban,267950
Norway,CO,1 year day max,2003,4.235,mg/m3,Traffic,urban,267950
Norway,CO,1 year day max,2003,5.363,mg/m3,Traffic,urban,623966
Norway,CO,1 year day max max,2003,6.625,mg/m3,Traffic,urban,267950
Norway,CO,1 year day max max,2003,8.45,mg/m3,Traffic,urban,623966
Norway,CO,1 year hour max,2003,10.2,mg/m3,Traffic,urban,623966
Norway,CO,1 year hour max,2003,11.9,mg/m3,Traffic,urban,267950
Norway,CO,1 year 50 percentile,2004,0.3,mg/m3,Traffic,urban,623966
Norway,CO,1 year 50 %ile of daily values in a year,2004,0.429,mg/m3,Traffic,urban,623966
Norway,CO,Annual mean / 1 calendar year,2004,0.574,mg/m3,Traffic,urban,623966
Norway,CO,1 year 50 percentile,2004,0.6,mg/m3,Traffic,urban,267950
Norway,CO,1 year 50 %ile of daily values in a year,2004,0.657,mg/m3,Traffic,urban,267950
Norway,CO,Annual mean / 1 calendar year,2004,0.776,mg/m3,Traffic,urban,267950
Norway,CO,1 year daymax average,2004,1.08,mg/m3,Traffic,urban,623966
Norway,CO,1 year daymax average,2004,1.258,mg/m3,Traffic,urban,267950
Norway,CO,1 year day max,2004,2.779,mg/m3,Traffic,urban,623966
Norway,CO,1 year day max,2004,3.426,mg/m3,Traffic,urban,267950
Norway,CO,1 year day max max,2004,4.088,mg/m3,Traffic,urban,623966
Norway,CO,1 year day max max,2004,5.857,mg/m3,Traffic,urban,267950
Norway,CO,1 year hour max,2004,6,mg/m3,Traffic,urban,623966
