Year,Month,Make,Model,Quantity,Type of engine
2007,1,Volkswagen ,Volkswagen Passat,1267,gas
2007,1,Toyota ,Toyota Rav4,819,gas
2007,1,Toyota ,Toyota Avensis,787,gas
2007,1,Volkswagen ,Volkswagen Golf,720,gas
2007,1,Toyota ,Toyota Corolla,691,gas
2007,1,Peugeot ,Peugeot 307,481,gas
2007,1,Skoda ,Skoda Octavia,481,gas
2007,1,Toyota ,Toyota Yaris,402,gas
2007,1,Ford ,Ford Focus,400,gas
2007,1,Volvo ,Volvo V50,346,gas
2007,1,Peugeot ,Peugeot 207,320,gas
2007,1,Audi ,Audi A4,269,gas
2007,1,Volkswagen ,Volkswagen Touran,235,gas
2007,1,Ford ,Ford S-Max,231,gas
2007,1,Opel ,Opel Astra,218,gas
2007,1,Volkswagen ,Volkswagen Polo,218,gas
2007,1,Audi ,Audi A3,202,gas
2007,1,BMW ,BMW 3-serie,183,gas
2007,1,Opel ,Opel Vectra,178,gas
2007,1,Honda ,Honda CR-V,172,gas
2007,2,Volkswagen ,Volkswagen Passat,602,gas
2007,2,Toyota ,Toyota Avensis,540,gas
2007,2,Toyota ,Toyota Corolla,505,gas
2007,2,Volkswagen ,Volkswagen Golf,442,gas
2007,2,Toyota ,Toyota Yaris,353,gas
2007,2,Toyota ,Toyota Rav4,346,gas
2007,2,Skoda ,Skoda Octavia,334,gas
2007,2,Peugeot ,Peugeot 307,308,gas
2007,2,Ford ,Ford Focus,296,gas
2007,2,Volvo ,Volvo V70,228,gas
2007,2,Honda ,Honda CR-V,225,gas
2007,2,Opel ,Opel Astra,221,gas
2007,2,Audi ,Audi A4,191,gas
2007,2,Volkswagen ,Volkswagen Touran,189,gas
2007,2,Peugeot ,Peugeot 207,185,gas
2007,2,Volvo ,Volvo V50,179,gas
2007,2,Audi ,Audi A3,165,gas
2007,2,Volkswagen ,Volkswagen Polo,162,gas
2007,2,Ford ,Ford S-Max,151,gas
2007,2,BMW ,BMW 3-serie,149,gas
2007,3,Volkswagen ,Volkswagen Passat,521,gas
2007,3,Toyota ,Toyota Avensis,521,gas
2007,3,Volkswagen ,Volkswagen Golf,402,gas
2007,3,Peugeot ,Peugeot 307,371,gas
2007,3,Toyota ,Toyota Corolla,313,gas
2007,3,Toyota ,Toyota Rav4,312,gas
2007,3,Ford ,Ford Focus,311,gas
2007,3,Skoda ,Skoda Octavia,295,gas
2007,3,Toyota ,Toyota Yaris,267,gas
2007,3,Honda ,Honda CR-V,266,gas
2007,3,Audi ,Audi A4,239,gas
2007,3,Volvo ,Volvo V70,236,gas
2007,3,Peugeot ,Peugeot 207,229,gas
2007,3,Ford ,Ford S-Max,219,gas
2007,3,Saab ,Saab 9-3,214,gas
2007,3,Opel ,Opel Astra,211,gas
2007,3,Volvo ,Volvo V50,197,gas
2007,3,Volkswagen ,Volkswagen Polo,197,gas
2007,3,Volkswagen ,Volkswagen Touran,194,gas
2007,3,Audi ,Audi A3,184,gas
2007,4,Volkswagen ,Volkswagen Passat,375,gas
2007,4,Volkswagen ,Volkswagen Golf,342,gas
2007,4,Peugeot ,Peugeot 307,270,gas
2007,4,Skoda ,Skoda Octavia,253,gas
2007,4,Volvo ,Volvo V70,248,gas
2007,4,Toyota ,Toyota Avensis,245,gas
2007,4,Toyota ,Toyota Corolla,236,gas
2007,4,Toyota ,Toyota Rav4,229,gas
2007,4,Volkswagen ,Volkswagen Touran,229,gas
2007,4,Honda ,Honda CR-V,215,gas
2007,4,Toyota ,Toyota Yaris,198,gas
2007,4,Audi ,Audi A3,196,gas
2007,4,Audi ,Audi A4,194,gas
2007,4,Volkswagen ,Volkswagen Polo,167,gas
2007,4,Saab ,Saab 9-3,167,gas
2007,4,Opel ,Opel Astra,152,gas
2007,4,Ford ,Ford Focus,147,gas
2007,4,Peugeot ,Peugeot 207,139,gas
2007,4,Ford ,Ford S-Max,117,gas
2007,4,Volvo ,Volvo V50,111,gas
2007,5,Volkswagen ,Volkswagen Golf,669,gas
2007,5,Volkswagen ,Volkswagen Passat,607,gas
2007,5,Toyota ,Toyota Auris,443,gas
2007,5,Volvo ,Volvo V70,403,gas
2007,5,Toyota ,Toyota Avensis,383,gas
2007,5,Toyota ,Toyota Rav4,368,gas
2007,5,Honda ,Honda CR-V,349,gas
2007,5,Peugeot ,Peugeot 307,335,gas
2007,5,Skoda ,Skoda Octavia,279,gas
2007,5,Ford ,Ford Focus,274,gas
2007,5,Toyota ,Toyota Yaris,270,gas
2007,5,Volkswagen ,Volkswagen Touran,262,gas
2007,5,Volkswagen ,Volkswagen Polo,258,gas
2007,5,Toyota ,Toyota Corolla,250,gas
2007,5,Saab ,Saab 9-3,224,gas
2007,5,Audi ,Audi A4,221,gas
