,,,Petrol,,Adv Petrol,,,Diesel,,,Adv Diesel,,,CNG ,,,Hybrid ,,,Electric,,,Bikes,,Electric Bikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entity,Year,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Mid,Lux,Econ,Lux,Adv Econ,Adv Lux ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2004,0.2578,0.1893,0.0516,0,0,0,0.024,0.3517,0.0852,0,0,0,0.0007,0.0099,0.0024,0,0,0,0,0,0,0.0042,0.0231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2005,0.2613,0.1749,0.044,0,0,0,0.0244,0.3695,0.0852,0,0,0,0.0006,0.0092,0.0021,0,0.0001,0,0,0,0,0.0047,0.024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2006,0.255,0.1612,0.0401,0,0,0,0.0335,0.3843,0.0856,0,0,0,0.0007,0.0084,0.0019,0,0.0002,0.0001,0,0,0,0.0051,0.024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2007,0.2481,0.1487,0.0368,0,0,0,0.0426,0.397,0.0872,0,0,0,0.0008,0.0074,0.0016,0,0.0003,0.0001,0,0,0,0.0055,0.0238,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2008,0.2402,0.1359,0.034,0,0,0,0.0509,0.4112,0.0888,0,0,0,0.0008,0.0067,0.0014,0,0.0006,0.0002,0,0,0,0.0059,0.0236,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2009,0.2338,0.1263,0.0319,0,0,0,0.057,0.4218,0.0907,0,0,0,0.0008,0.0058,0.0013,0,0.0008,0.0002,0,0,0,0.0063,0.0234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2010,0.2279,0.1173,0.0302,0,0,0,0.0612,0.4344,0.0909,0,0,0,0.0007,0.0051,0.0011,0,0.0011,0.0002,0,0,0,0.0068,0.0231,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2011,0.1392,0.1936,0.0283,0,0,0,0.0279,0.4835,0.0902,0,0,0,0.0003,0.0049,0.0009,0.0001,0.0013,0.0002,0,0,0,0.0071,0.0225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2012,0.1349,0.1928,0.0272,0,0,0,0.0253,0.4872,0.0938,0,0,0,0.0003,0.005,0.001,0.0001,0.0015,0.0002,0,0.0001,0.0001,0.0078,0.0227,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2013,0.1169,0.1672,0.0246,0.0086,0.0122,0.0018,0.0252,0.476,0.0892,0.0017,0.033,0.0063,0.0003,0.0045,0.0008,0.0001,0.002,0.0002,0,0.0001,0.0002,0.0075,0.0199,0.0005,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2014,0.1081,0.1549,0.0238,0.0083,0.0116,0.0018,0.0269,0.4954,0.0905,0.0018,0.0343,0.0066,0.0003,0.004,0.0006,0.0001,0.0025,0.0002,0,0.0001,0.0002,0.0076,0.0185,0.0006,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,2015,0.0997,0.1432,0.023,0.008,0.0111,0.0017,0.0285,0.5139,0.0914,0.0019,0.0357,0.0068,0.0003,0.0036,0.0005,0.0002,0.0032,0.0002,0,0.0002,0.0003,0.0076,0.0171,0.0006,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2004,0.2664,0.6123,0.0262,0,0,0,0.0002,0.0304,0.0205,0,0,0,0,0,0,0,0.0001,0,0,0,0,0.0282,0.0157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2005,0.2569,0.6256,0.0217,0,0,0,0.0003,0.0294,0.0206,0,0,0,0,0,0,0,0.0002,0.0001,0,0,0,0.0283,0.0169,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2006,0.2483,0.633,0.0225,0,0,0,0.0004,0.0278,0.0208,0,0,0,0,0,0,0,0.0005,0.0002,0,0,0,0.0283,0.0182,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2007,0.2424,0.6352,0.0233,0,0,0,0.0005,0.027,0.0208,0,0,0,0,0,0,0,0.0009,0.0003,0,0,0,0.0295,0.0199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2008,0.2425,0.6328,0.0237,0,0,0,0.0009,0.0271,0.0198,0,0,0,0,0,0,0,0.0016,0.0004,0,0,0,0.0298,0.0214,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
