Entity,Code,Year,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping
Afghanistan,AFG,1990,8069999.694824219,-2390000.104904175,1230000.0190734863,50000.00074505806,409999.9964237213,1669999.9570846558,170000.00178813934,79999.99821186066,280000.0011920929,0,19999.999552965164
Afghanistan,AFG,1991,8399999.618530273,-2390000.104904175,1320000.0524520874,59999.99865889549,400000.0059604645,1549999.9523162842,170000.00178813934,70000.00029802322,239999.99463558197,0,19999.999552965164
Afghanistan,AFG,1992,8409999.84741211,-2390000.104904175,1399999.976158142,59999.99865889549,370000.0047683716,769999.9809265137,159999.9964237213,29999.999329447746,200000.00298023224,0,19999.999552965164
Afghanistan,AFG,1993,8489999.771118164,-2390000.104904175,1490000.0095367432,59999.99865889549,360000.01430511475,740000.0095367432,159999.9964237213,29999.999329447746,159999.9964237213,0,19999.999552965164
Afghanistan,AFG,1994,8520000.457763672,-2390000.104904175,1580000.0429153442,59999.99865889549,340000.0035762787,709999.9785423279,159999.9964237213,19999.999552965164,119999.99731779099,0,19999.999552965164
Afghanistan,AFG,1995,8960000.038146973,-2390000.104904175,1669999.9570846558,70000.00029802322,330000.01311302185,680000.0071525574,159999.9964237213,19999.999552965164,79999.99821186066,0,19999.999552965164
Afghanistan,AFG,1996,9979999.542236328,-2390000.104904175,1730000.0190734863,79999.99821186066,319999.9928474426,639999.9856948853,159999.9964237213,9999.999776482582,90000.00357627869,0,19999.999552965164
Afghanistan,AFG,1997,10949999.809265137,-2390000.104904175,1789999.9618530273,100000.00149011612,289999.99165534973,589999.9737739563,159999.9964237213,9999.999776482582,90000.00357627869,0,19999.999552965164
Afghanistan,AFG,1998,11750000,-2390000.104904175,1840000.033378601,109999.99940395355,270000.01072883606,550000.011920929,159999.9964237213,9999.999776482582,90000.00357627869,0,19999.999552965164
Afghanistan,AFG,1999,12789999.961853027,-2390000.104904175,1899999.976158142,119999.99731779099,250000,349999.9940395355,159999.9964237213,9999.999776482582,90000.00357627869,0,19999.999552965164
Afghanistan,AFG,2000,10989999.771118164,-2390000.104904175,1960000.0381469727,100000.00149011612,230000.00417232513,360000.01430511475,159999.9964237213,0,90000.00357627869,0,19999.999552965164
Afghanistan,AFG,2001,9279999.732971191,119999.99731779099,2049999.9523162842,100000.00149011612,209999.99344348907,379999.9952316284,129999.99523162842,0,79999.99821186066,0,19999.999552965164
Afghanistan,AFG,2002,11529999.732971191,119999.99731779099,2150000.0953674316,109999.99940395355,560000.0023841858,360000.01430511475,100000.00149011612,0,79999.99821186066,0,19999.999552965164
Afghanistan,AFG,2003,11890000.343322754,119999.99731779099,2240000.009536743,119999.99731779099,479999.98927116394,569999.9928474426,159999.9964237213,0,70000.00029802322,0,29999.999329447746
Afghanistan,AFG,2004,11770000.457763672,119999.99731779099,2329999.9237060547,119999.99731779099,230000.00417232513,579999.9833106995,170000.00178813934,39999.99910593033,59999.99865889549,0,39999.99910593033
Afghanistan,AFG,2005,12069999.694824219,119999.99731779099,2420000.0762939453,129999.99523162842,340000.0035762787,949999.988079071,189999.9976158142,70000.00029802322,59999.99865889549,0,39999.99910593033
Afghanistan,AFG,2006,12050000.190734863,119999.99731779099,2500000,150000.00596046448,340000.0035762787,1200000.0476837158,109999.99940395355,100000.00149011612,280000.0011920929,0,39999.99910593033
Afghanistan,AFG,2007,12119999.885559082,119999.99731779099,2579999.9237060547,180000.00715255737,319999.9928474426,1289999.9618530273,100000.00149011612,39999.99910593033,500000,0,29999.999329447746
Afghanistan,AFG,2008,13399999.618530273,119999.99731779099,2660000.0858306885,200000.00298023224,509999.99046325684,2869999.885559082,100000.00149011612,70000.00029802322,730000.0190734863,0,29999.999329447746
Afghanistan,AFG,2009,13859999.656677246,119999.99731779099,2730000.0190734863,219999.9988079071,600000.0238418579,3910000.0858306885,50000.00074505806,300000.01192092896,949999.988079071,0,29999.999329447746
Afghanistan,AFG,2010,15789999.961853027,119999.99731779099,2809999.942779541,250000,899999.9761581421,5969999.79019165,70000.00029802322,159999.9964237213,1169999.9570846558,0,29999.999329447746
Afghanistan,AFG,2011,15899999.618530273,-250000,2910000.0858306885,310000.0023841858,939999.9976158142,7800000.190734863,70000.00029802322,109999.99940395355,1379999.9952316284,0,29999.999329447746
Afghanistan,AFG,2012,15779999.732971191,-250000,3000000,389999.98569488525,930000.0071525574,6969999.79019165,70000.00029802322,79999.99821186066,1580000.0429153442,0,29999.999329447746
Afghanistan,AFG,2013,15720000.267028809,-250000,3089999.9141693115,469999.9988079071,920000.0166893005,4860000.133514404,79999.99821186066,79999.99821186066,1779999.9713897705,0,29999.999329447746
Afghanistan,AFG,2014,16219999.313354492,-250000,3190000.057220459,519999.9809265137,899999.9761581421,3849999.9046325684,50000.00074505806,50000.00074505806,1980000.0190734863,0,29999.999329447746
Afghanistan,AFG,2015,15109999.656677246,-250000,3279999.9713897705,600000.0238418579,889999.9856948853,4940000.057220459,50000.00074505806,19999.999552965164,2180000.066757202,0,29999.999329447746
