,,Ratio of Market demand,,,,,,,,,,,,,,,,,,,,,,,,,,GHG emissions by Sector all in tonnes of c02 eq,,,,,,,,,,,Primary Energy,,,,,,
Entity,Year,"('Petrol', 'Econ')","('Petrol', 'Mid')","('Petrol', 'Lux')","('Adv Petrol', 'Econ')","('Adv Petrol', 'Mid')","('Adv Petrol', 'Lux')","('Diesel', 'Econ')","('Diesel', 'Mid')","('Diesel', 'Lux')","('Adv Diesel', 'Econ')","('Adv Diesel', 'Mid')","('Adv Diesel', 'Lux')","('CNG', 'Econ')","('CNG', 'Mid')","('CNG', 'Lux')","('Hybrid', 'Econ')","('Hybrid', 'Mid')","('Hybrid', 'Lux')","('Electric', 'Econ')","('Electric', 'Mid')","('Electric', 'Lux')","('Bikes', 'Econ')","('Bikes', 'Lux')","('Electric Bikes', 'Adv Econ')","('Electric Bikes', 'Adv Lux')",Transport_x(only co2 emissions),Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y(by sector billions tonnes,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Fossil fuels (% equivalent primary energy),Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity),fossil_demand,ev_demand,ev_savings
Africa OPEC,2004,0.1875,0.2335,0.4003,0,0,0,0.0033,0.0702,0.0385,0,0,0,0.0017,0.0018,0.0006,0,0.0012,0.0003,0,0,0,0.0539,0.0073,0,0,22030000.69,9460000.038,-2390000.105,10949999.81,6659999.847,8109999.657,22479999.54,31780000.69,11550000.19,79580001.83,0,2210000.038,99.79321289,0.206786901,93.25098419,0.803225636,0.9986,0,0
Africa OPEC,2005,0.1957,0.2356,0.3865,0,0,0,0.0034,0.0709,0.039,0,0,0,0.0021,0.0021,0.0006,0,0.0015,0.0006,0,0,0,0.0533,0.0087,0,0,24159999.85,8859999.657,-2359999.895,11189999.58,7679999.828,8229999.542,24629999.16,32639999.39,12539999.96,82239997.86,0,2380000.114,99.56587982,0.434118778,92.43697357,1.637328506,0.9979,0,0
Africa OPEC,2006,0.2001,0.2339,0.3751,0,0,0,0.0049,0.0745,0.0388,0,0,0,0.0023,0.0023,0.0006,0,0.0018,0.0009,0,0,0,0.0553,0.0093,0,0,25629999.16,9359999.657,-2349999.905,11430000.31,9000000,8720000.267,26110000.61,34279998.78,12229999.54,84720001.22,0,2250000,99.83673096,0.163271949,93.39427185,0.617707968,0.9971,0,0
Africa OPEC,2007,0.2018,0.2345,0.3681,0,0,0,0.0058,0.0776,0.0394,0,0,0,0.0026,0.0025,0.0004,0,0.0023,0.0011,0,0,0,0.0554,0.0086,0,0,27600000.38,9470000.267,-2220000.029,11670000.08,9899999.619,9739999.771,28149999.62,33990001.68,13649999.62,82260002.14,0,2250000,99.84009552,0.159904569,93.13856506,0.605735719,0.9967,0,0
Africa OPEC,2008,0.2046,0.2381,0.3545,0,0,0,0.0057,0.0798,0.0402,0,0,0,0.0029,0.0027,0.0004,0,0.0026,0.0013,0,0,0,0.0583,0.009,0,0,29190000.53,9090000.153,-2299999.952,11909999.85,10930000.31,10109999.66,29770000.46,35319999.69,13619999.89,83599998.47,0,2299999.952,99.81224823,0.187754303,93.32206726,0.703332722,0.9962,0,0
Africa OPEC,2009,0.2106,0.2343,0.3479,0,0,0,0.0068,0.0818,0.0405,0,0,0,0.0034,0.0031,0.0004,0.0002,0.0031,0.0014,0,0,0,0.0573,0.0092,0,0,30520000.46,9970000.267,-2380000.114,12149999.62,12010000.23,9869999.886,31139999.39,36709999.08,13520000.46,77330001.83,3960000.038,2380000.114,99.78720856,0.212785482,83.29467773,0.793282628,0.9953,0,0
Africa OPEC,2010,0.2125,0.2333,0.3411,0,0,0,0.008,0.0834,0.0403,0,0,0,0.0038,0.0034,0.0004,0.0003,0.0035,0.0016,0,0,0,0.0592,0.0093,0,0,31709999.08,10520000.46,-2400000.095,12390000.34,12489999.77,10710000.04,32389999.39,36479999.54,13279999.73,78029998.78,3599999.905,2470000.029,99.88486481,0.115132377,93.64819336,0.398163319,0.9947,0,0
Africa OPEC,2011,0.2163,0.2323,0.3318,0,0,0,0.0084,0.0851,0.0394,0,0,0,0.0077,0.0035,0.0004,0.0003,0.004,0.0017,0,0.0001,0,0.0593,0.0096,0,0,34220001.22,10810000.42,-540000.0215,12640000.34,13050000.19,10819999.69,34939998.63,39349998.47,14649999.62,75500000,3990000.01,2279999.971,99.76473999,0.235259905,89.83683014,0.746351719,0.9938,0.0001,3443.348885
Africa OPEC,2012,0.218,0.2324,0.3241,0,0,0,0.0087,0.0929,0.0386,0,0,0,0.0049,0.0036,0.0004,0.0003,0.0048,0.0021,0,0.0001,0,0.0591,0.0098,0,0,38639999.39,11539999.96,-439999.9976,12899999.62,13189999.58,10069999.69,39470001.22,43509998.32,16840000.15,84349998.47,3559999.943,2259999.99,99.77546692,0.224531949,92.98395538,0.724294007,0.9925,0.0001,3893.198931
