Entity,Year,"('Petrol', 'Econ')","('Petrol', 'Mid')","('Petrol', 'Lux')","('Adv Petrol', 'Econ')","('Adv Petrol', 'Mid')","('Adv Petrol', 'Lux')","('Diesel', 'Econ')","('Diesel', 'Mid')","('Diesel', 'Lux')","('Adv Diesel', 'Econ')","('Adv Diesel', 'Mid')","('Adv Diesel', 'Lux')","('CNG', 'Econ')","('CNG', 'Mid')","('CNG', 'Lux')","('Hybrid', 'Econ')","('Hybrid', 'Mid')","('Hybrid', 'Lux')","('Electric', 'Econ')","('Electric', 'Mid')","('Electric', 'Lux')","('Bikes', 'Econ')","('Bikes', 'Lux')","('Electric Bikes', 'Adv Econ')","('Electric Bikes', 'Adv Lux')",Fossil fuels (% equivalent primary energy),Transport_x,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity),fossil_demand,ev_demand,ev_savings
Africa OPEC,2004,0.1875,0.2335,0.4003,0.0,0.0,0.0,0.0033,0.0702,0.0385,0.0,0.0,0.0,0.0017,0.0018,0.0006,0.0,0.0012,0.0003,0.0,0.0,0.0,0.0539,0.0073,0.0,0.0,99.793212890625,22030000.686645508,9460000.038146973,-2390000.104904175,10949999.809265137,6659999.847412109,8109999.656677246,22479999.542236328,31780000.686645508,11550000.190734863,79580001.83105469,0.0,2210000.0381469727,0.2067869007587433,93.25098419189452,0.8032256364822388,0.9986,0.0,0.0
Africa OPEC,2005,0.1957,0.2356,0.3865,0.0,0.0,0.0,0.0034,0.0709,0.039,0.0,0.0,0.0,0.0021,0.0021,0.0006,0.0,0.0015,0.0006,0.0,0.0,0.0,0.0533,0.0087,0.0,0.0,99.56587982177734,24159999.84741211,8859999.656677246,-2359999.895095825,11189999.5803833,7679999.828338623,8229999.542236328,24629999.1607666,32639999.38964844,12539999.961853027,82239997.86376953,0.0,2380000.114440918,0.434118777513504,92.43697357177734,1.6373285055160522,0.9979000000000001,0.0,0.0
Africa OPEC,2006,0.2001,0.2339,0.3751,0.0,0.0,0.0,0.0049,0.0745,0.0388,0.0,0.0,0.0,0.0023,0.0023,0.0006,0.0,0.0018,0.0009,0.0,0.0,0.0,0.0553,0.0093,0.0,0.0,99.83673095703124,25629999.1607666,9359999.656677246,-2349999.9046325684,11430000.30517578,9000000.0,8720000.267028809,26110000.61035156,34279998.779296875,12229999.542236328,84720001.22070312,0.0,2250000.0,0.1632719486951828,93.39427185058594,0.6177079677581787,0.9971,0.0,0.0
Africa OPEC,2007,0.2018,0.2345,0.3681,0.0,0.0,0.0,0.0058,0.0776,0.0394,0.0,0.0,0.0,0.0026,0.0025,0.0004,0.0,0.0023,0.0011,0.0,0.0,0.0,0.0554,0.0086,0.0,0.0,99.84009552001952,27600000.381469727,9470000.267028809,-2220000.028610229,11670000.076293943,9899999.618530272,9739999.771118164,28149999.61853028,33990001.6784668,13649999.618530272,82260002.13623047,0.0,2250000.0,0.1599045693874359,93.13856506347656,0.605735719203949,0.9967,0.0,0.0
Africa OPEC,2008,0.2046,0.2381,0.3545,0.0,0.0,0.0,0.0057,0.0798,0.0402,0.0,0.0,0.0,0.0029,0.0027,0.0004,0.0,0.0026,0.0013,0.0,0.0,0.0,0.0583,0.009,0.0,0.0,99.81224822998048,29190000.534057617,9090000.15258789,-2299999.952316284,11909999.84741211,10930000.30517578,10109999.656677246,29770000.457763672,35319999.69482422,13619999.885559082,83599998.4741211,0.0,2299999.952316284,0.1877543032169342,93.3220672607422,0.7033327221870422,0.9962,0.0,0.0
Africa OPEC,2009,0.2106,0.2343,0.3479,0.0,0.0,0.0,0.0068,0.0818,0.0405,0.0,0.0,0.0,0.0034,0.0031,0.0004,0.0002,0.0031,0.0014,0.0,0.0,0.0,0.0573,0.0092,0.0,0.0,99.7872085571289,30520000.457763672,9970000.267028809,-2380000.114440918,12149999.618530272,12010000.228881836,9869999.885559082,31139999.38964844,36709999.084472656,13520000.457763672,77330001.83105469,3960000.0381469727,2380000.114440918,0.2127854824066162,83.294677734375,0.7932826280593872,0.9952999999999999,0.0,0.0
Africa OPEC,2010,0.2125,0.2333,0.3411,0.0,0.0,0.0,0.008,0.0834,0.0403,0.0,0.0,0.0,0.0038,0.0034,0.0004,0.0003,0.0035,0.0016,0.0,0.0,0.0,0.0592,0.0093,0.0,0.0,99.8848648071289,31709999.084472656,10520000.457763672,-2400000.095367432,12390000.343322754,12489999.771118164,10710000.038146973,32389999.38964844,36479999.54223633,13279999.732971191,78029998.77929688,3599999.9046325684,2470000.028610229,0.1151323765516281,93.648193359375,0.3981633186340332,0.9946999999999999,0.0,0.0
Africa OPEC,2011,0.2163,0.2323,0.3318,0.0,0.0,0.0,0.0084,0.0851,0.0394,0.0,0.0,0.0,0.0077,0.0035,0.0004,0.0003,0.004,0.0017,0.0,0.0001,0.0,0.0593,0.0096,0.0,0.0,99.76473999023438,34220001.220703125,10810000.4196167,-540000.0214576721,12640000.343322754,13050000.190734863,10819999.69482422,34939998.626708984,39349998.47412109,14649999.618530272,75500000.0,3990000.009536743,2279999.9713897705,0.2352599054574966,89.83683013916016,0.7463517189025879,0.9937999999999999,0.0001,3443.3488851582943
Africa OPEC,2012,0.218,0.2324,0.3241,0.0,0.0,0.0,0.0087,0.0929,0.0386,0.0,0.0,0.0,0.0049,0.0036,0.0004,0.0003,0.0048,0.0021,0.0,0.0001,0.0,0.0591,0.0098,0.0,0.0,99.77546691894533,38639999.38964844,11539999.961853027,-439999.9976158142,12899999.618530272,13189999.5803833,10069999.69482422,39470001.220703125,43509998.3215332,16840000.15258789,84349998.4741211,3559999.942779541,2259999.990463257,0.2245319485664367,92.98395538330078,0.7242940068244934,0.9925,0.0001,3893.1989309469454
Africa OPEC,2013,0.2089,0.2186,0.3002,0.0148,0.0155,0.0213,0.0086,0.0889,0.0357,0.0006,0.0062,0.0025,0.0055,0.0038,0.0004,0.0004,0.0053,0.0023,0.0,0.0002,0.0,0.0472,0.0091,0.0034,0.0007,99.93524169921876,40259998.3215332,11810000.4196167,-610000.0143051147,13159999.84741211,13409999.84741211,10020000.457763672,41139999.38964844,43009998.3215332,18540000.915527344,84839996.33789062,4150000.095367432,2470000.028610229,0.0647631958127021,93.48806762695312,0.213057279586792,0.9877999999999999,0.0043,175256.11741505648
