,Entity,Year,Fossil fuels (% equivalent primary energy),Transport_x,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport_y,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping,Renewables (% equivalent primary energy),Fossil fuels (% electricity),Renewables (% electricity)
0,Africa,1990,92.51457977294922,109269996.6430664,584679992.6757812,609669982.9101562,112129997.25341795,34069999.69482422,115389999.38964844,112069999.69482422,242029998.77929688,86980003.3569336,260730010.98632807,8300000.190734863,27350000.381469727,6.568428039550781,78.51348876953125,18.2072868347168
1,Africa,1991,92.04486083984376,114580001.83105467,593219970.703125,609669982.9101562,116830001.83105467,36380001.068115234,108620002.74658205,117480003.3569336,247849990.84472656,89669998.16894531,285500000.0,8960000.038146973,27659999.84741211,6.96174430847168,77.70989227294922,18.917314529418945
2,Africa,1992,92.45323944091795,120589996.33789062,601109985.3515625,609669982.9101562,121510002.13623048,37610000.61035156,105419998.16894533,123650001.5258789,253639999.38964844,92190002.44140624,282540008.5449219,9079999.923706057,29780000.686645508,6.552484035491943,78.8577880859375,17.901201248168945
3,Africa,1993,92.8037567138672,119659996.03271484,602150024.4140625,609660034.1796875,126300003.0517578,37939998.62670898,97690002.44140624,122730003.3569336,265989990.234375,96120002.74658205,296619995.1171875,11369999.885559082,29799999.237060547,6.4210205078125,80.47123718261719,16.991567611694336
4,Africa,1994,92.70841217041016,121260002.13623048,610960021.9726562,609660034.1796875,134050003.0517578,95139999.38964844,89569999.69482422,124369995.1171875,271709991.4550781,97470001.22070312,310709991.4550781,12689999.5803833,35430000.30517578,6.290523529052734,80.176513671875,16.63081932067871
5,Africa,1995,92.59597778320312,130110000.61035156,621429992.6757812,610190002.4414062,128750000.0,97669998.16894533,92659996.03271484,133430007.93457033,285109985.3515625,99019996.6430664,335239990.234375,13869999.885559082,37200000.76293945,6.283753395080566,79.77336120605469,16.758926391601562
6,Africa,1996,92.45040130615234,135729995.72753906,636460021.9726562,589359985.3515625,123729995.72753906,99849998.4741211,100669998.16894533,139119995.1171875,292070007.32421875,100989997.86376952,364709991.4550781,13869999.885559082,40669998.16894531,6.411200523376465,79.70319366455078,16.634294509887695
7,Africa,1997,92.35285186767578,144559997.55859375,645239990.234375,598460021.9726562,119150001.5258789,102220001.22070312,105309997.55859376,148149993.89648438,308029998.7792969,104349998.4741211,352559997.5585937,13439999.5803833,37920001.98364258,6.448849201202393,79.92227172851562,16.27213478088379
8,Africa,1998,92.07369995117188,145069992.0654297,681429992.6757812,630070007.3242188,114309997.55859376,104270004.27246094,106459999.08447266,148639999.38964844,321589996.3378906,105360000.61035156,344829986.5722656,14929999.351501465,36869998.931884766,6.657183170318604,79.23883819580078,16.819448471069336
9,Africa,1999,92.00193786621094,153110000.61035156,685309997.5585938,625289978.0273438,109290000.91552734,106919998.16894533,103330001.83105467,156910003.66210938,318619995.1171875,107110000.61035156,338790008.5449219,13190000.534057615,42259998.3215332,6.836302757263184,79.01988983154297,17.294090270996094
10,Africa,2000,91.67432403564452,157639999.38964844,696260009.765625,597549987.7929688,104400001.5258789,109660003.66210938,102319999.69482422,161569992.0654297,326540008.5449219,108540000.91552734,358959991.4550781,13380000.114440918,41259998.3215332,7.174940586090088,78.74517059326172,17.654525756835938
11,Africa,2001,91.6755828857422,165059997.55859375,683989990.234375,655700012.2070312,105099998.4741211,112089996.33789062,106660003.66210938,169199996.9482422,372769989.0136719,115349998.4741211,355230010.9863281,12519999.504089355,38650001.525878906,7.414130687713623,79.02587127685547,18.21664810180664
12,Africa,2002,91.38514709472656,173550003.0517578,712140014.6484375,655690002.4414062,110000000.0,115590003.96728516,109900001.5258789,177830001.8310547,384109985.3515625,120839996.33789062,335250000.0,11899999.618530272,36650001.525878906,7.605161666870117,79.12548065185547,18.00189971923828
13,Africa,2003,91.94754028320312,184270004.2724609,737109985.3515625,680399963.3789062,112909996.03271484,116910003.66210938,114290000.91552734,188729995.72753903,402220001.2207031,124680000.30517578,366459991.4550781,12130000.114440918,39610000.61035156,7.0411763191223145,80.06246948242188,16.845775604248047
